frame,DetObj#,x,y,z,v,snr,noise
0,0,1.0,2.0,3.0,0.0,166,605
0,1,1.0,2.0,3.0,0.0,213,581
0,2,1.0,2.0,3.0,0.0,437,453
0,3,1.0,2.0,3.0,0.0,138,607
1,0,1.0,2.0,3.0,0.0,166,608
1,1,1.0,2.0,3.0,0.0,213,581
1,2,1.0,2.0,3.0,0.0,422,468
1,3,1.0,2.0,3.0,0.0,139,608
2,0,1.0,2.0,3.0,0.0,243,592
2,1,1.0,2.0,3.0,0.0,418,472
2,2,1.0,2.0,3.0,0.0,140,607
3,0,1.0,2.0,3.0,0.0,168,604
3,1,1.0,2.0,3.0,0.0,197,561
3,2,1.0,2.0,3.0,0.0,436,454
3,3,1.0,2.0,3.0,0.0,142,605
4,0,1.0,2.0,3.0,0.0,116,668
4,1,1.0,2.0,3.0,0.0,184,592
4,2,1.0,2.0,3.0,0.0,207,571
4,3,1.0,2.0,3.0,0.0,424,466
4,4,1.0,2.0,3.0,0.0,140,604
5,0,1.0,2.0,3.0,0.0,246,572
5,1,1.0,2.0,3.0,0.0,426,464
5,2,1.0,2.0,3.0,0.0,136,607
6,0,1.0,2.0,3.0,0.0,227,566
6,1,1.0,2.0,3.0,0.0,423,468
6,2,1.0,2.0,3.0,0.0,146,603
7,0,1.0,2.0,3.0,0.0,259,544
7,1,1.0,2.0,3.0,0.0,431,460
7,2,1.0,2.0,3.0,0.0,142,607
7,3,1.0,2.0,3.0,-0.4828486442565918,226,451
8,0,1.0,2.0,3.0,0.0,274,542
8,1,1.0,2.0,3.0,0.0,425,465
8,2,1.0,2.0,3.0,0.0,145,601
8,3,1.0,2.0,3.0,-0.2414243221282959,226,534
9,0,1.0,2.0,3.0,0.0,183,604
9,1,1.0,2.0,3.0,0.0,258,546
9,2,1.0,2.0,3.0,0.0,140,502
9,3,1.0,2.0,3.0,0.0,140,502
9,4,1.0,2.0,3.0,0.0,429,461
9,5,1.0,2.0,3.0,0.0,127,603
10,0,1.0,2.0,3.0,0.0,261,566
10,1,1.0,2.0,3.0,0.0,427,463
10,2,1.0,2.0,3.0,0.0,140,601
11,0,1.0,2.0,3.0,0.0,230,578
11,1,1.0,2.0,3.0,0.0,437,453
11,2,1.0,2.0,3.0,0.0,125,608
