Imaginary,Real
21536,2048
5356,1
12302,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
16,0
4487,2236
2,0
1,0
0,0
10,0
0,6
21536,2048
24968,1
21821,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
17,0
-32073,2617
2,0
1,0
0,0
10,0
0,6
21536,2048
24704,1
20918,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
18,0
-30130,2998
1,0
1,0
0,0
10,0
0,6
21536,2048
5515,1
12292,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
19,0
-261,3379
1,0
1,0
0,0
10,0
0,6
21536,2048
4716,1
12302,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
20,0
30751,3761
1,0
1,0
0,0
10,0
0,6
21536,2048
4754,1
12310,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
21,0
-4437,4142
1,0
1,0
0,0
10,0
0,6
21536,2048
4616,1
12299,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
22,0
27263,4524
1,0
1,0
0,0
10,0
0,6
21536,2048
4940,1
12292,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
23,0
-8005,4905
1,0
1,0
0,0
10,0
0,6
21536,2048
4609,1
12299,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
24,0
22381,5287
1,0
1,0
0,0
10,0
0,6
21536,2048
4623,1
12299,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
25,0
-11615,5668
1,0
1,0
0,0
10,0
0,6
21536,2048
5436,1
12295,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
26,0
19429,6050
1,0
1,0
0,0
10,0
0,6
21536,2048
5438,1
12302,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
27,0
-15843,6431
1,0
1,0
0,0
10,0
0,6
21536,2048
5101,1
12299,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
28,0
-18786,6813
2,0
1,0
0,0
10,0
0,6
21536,2048
26020,1
21821,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
29,0
-19207,7194
1,0
1,0
0,0
10,0
0,6
21536,2048
5312,1
12299,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
30,0
10919,7576
1,0
1,0
0,0
10,0
0,6
21536,2048
5175,1
12299,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
31,0
-24461,7957
1,0
1,0
0,0
10,0
0,6
21536,2048
4714,1
12210,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
32,0
6313,8339
1,0
1,0
0,0
10,0
0,6
21536,2048
4711,1
12210,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
33,0
-27861,8720
1,0
1,0
0,0
10,0
0,6
21536,2048
5156,1
12293,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
34,0
3111,9102
1,0
1,0
0,0
10,0
0,6
21536,2048
5193,1
12299,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
35,0
-31163,9483
1,0
1,0
0,0
10,0
0,6
21536,2048
5137,1
12210,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
36,0
-729,9864
1,0
1,0
0,0
10,0
0,6
21536,2048
5234,1
12299,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
37,0
30502,10246
1,0
1,0
0,0
10,0
0,6
21536,2048
5467,1
12302,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
38,0
-5075,10627
1,0
1,0
0,0
10,0
0,6
21536,2048
5255,1
12210,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
39,0
-10518,11009
2,0
1,0
0,0
10,0
0,6
21536,2048
25152,1
20931,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
40,0
-7688,11390
1,0
1,0
0,0
10,0
0,6
21536,2048
5752,1
12211,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
41,0
21404,11772
1,0
1,0
0,0
10,0
0,6
21536,2048
4647,1
12290,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
42,0
-12929,12153
1,0
1,0
0,0
10,0
0,6
21536,2048
5147,1
12292,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
43,0
18300,12535
1,0
1,0
0,0
10,0
0,6
21536,2048
5462,1
12299,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
44,0
-16914,12916
1,0
1,0
0,0
10,0
0,6
21536,2048
5125,1
12299,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
45,0
13527,13298
1,0
1,0
0,0
10,0
0,6
21536,2048
4660,1
12299,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
46,0
-20774,13679
1,0
1,0
0,0
10,0
0,6
21536,2048
5137,1
12292,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
47,0
10135,14061
1,0
1,0
0,0
10,0
0,6
21536,2048
5358,1
12299,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
48,0
-25138,14442
1,0
1,0
0,0
10,0
0,6
21536,2048
4635,1
12299,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
49,0
6770,14824
1,0
1,0
0,0
10,0
0,6
21536,2048
5087,1
12290,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
50,0
2022,15206
2,0
1,0
0,0
10,0
0,6
21536,2048
24631,1
21824,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
51,0
31900,15587
2,0
1,0
0,0
10,0
0,6
21536,2048
24164,1
21865,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
52,0
32607,15968
1,0
1,0
0,0
10,0
0,6
21536,2048
4639,1
12210,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
53,0
-1908,16349
1,0
1,0
0,0
10,0
0,6
21536,2048
5212,1
12299,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
54,0
30263,16731
1,0
1,0
0,0
10,0
0,6
21536,2048
6367,1
12299,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
55,0
-5908,17112
1,0
1,0
0,0
10,0
0,6
21536,2048
4981,1
12299,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
56,0
25176,17494
1,0
1,0
0,0
10,0
0,6
21536,2048
5290,1
12299,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
57,0
-8960,17875
1,0
1,0
0,0
10,0
0,6
21536,2048
6003,1
12295,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
58,0
21257,18257
1,0
1,0
0,0
10,0
0,6
21536,2048
5336,1
12299,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
59,0
-14290,18638
1,0
1,0
0,0
10,0
0,6
21536,2048
4624,1
12299,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
60,0
17069,19020
1,0
1,0
0,0
10,0
0,6
21536,2048
5314,1
12299,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
61,0
-17550,19401
1,0
1,0
0,0
10,0
0,6
21536,2048
5333,1
12299,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
62,0
12983,19783
1,0
1,0
0,0
10,0
0,6
21536,2048
5181,1
12299,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
63,0
-21496,20164
1,0
1,0
0,0
10,0
0,6
21536,2048
5150,1
12299,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
64,0
9506,20546
1,0
1,0
0,0
10,0
0,6
21536,2048
5154,1
12299,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
65,0
-25362,20927
1,0
1,0
0,0
10,0
0,6
21536,2048
5181,1
12293,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
66,0
4632,21309
1,0
1,0
0,0
10,0
0,6
21536,2048
4643,1
12299,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
67,0
-29524,21690
1,0
1,0
0,0
10,0
0,6
21536,2048
5280,1
12292,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
68,0
779,22072
1,0
1,0
0,0
10,0
0,6
21536,2048
4682,1
12299,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
69,0
31929,22453
1,0
1,0
0,0
10,0
0,6
21536,2048
5154,1
12292,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
70,0
-2905,22834
1,0
1,0
0,0
10,0
0,6
21536,2048
5182,1
12299,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
71,0
27679,23216
1,0
1,0
0,0
10,0
0,6
21536,2048
5166,1
12210,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
72,0
-6972,23597
1,0
1,0
0,0
10,0
0,6
21536,2048
5248,1
12210,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
73,0
23891,23979
1,0
1,0
0,0
10,0
0,6
21536,2048
5302,1
12291,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
74,0
-11492,24360
1,0
1,0
0,0
10,0
0,6
21536,2048
4691,1
12210,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
75,0
19502,24742
1,0
1,0
0,0
10,0
0,6
21536,2048
4614,1
12302,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
76,0
-15294,25123
1,0
1,0
0,0
10,0
0,6
21536,2048
4690,1
12299,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
77,0
15385,25505
1,0
1,0
0,0
10,0
0,6
21536,2048
4680,1
12299,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
78,0
-19398,25886
1,0
1,0
0,0
10,0
0,6
21536,2048
4738,1
12210,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
79,0
12130,26268
1,0
1,0
0,0
10,0
0,6
21536,2048
5468,1
12210,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
80,0
-23044,26649
1,0
1,0
0,0
10,0
0,6
21536,2048
4871,1
12299,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
81,0
7321,27031
1,0
1,0
0,0
10,0
0,6
21536,2048
4605,1
12290,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
82,0
-27340,27412
1,0
1,0
0,0
10,0
0,6
21536,2048
4721,1
12210,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
83,0
3473,27794
1,0
1,0
0,0
10,0
0,6
21536,2048
4766,1
12210,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
84,0
-31373,28175
1,0
1,0
0,0
10,0
0,6
21536,2048
4662,1
12210,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
85,0
242,28557
1,0
1,0
0,0
10,0
0,6
21536,2048
5493,1
12203,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
86,0
30565,28938
1,0
1,0
0,0
10,0
0,6
21536,2048
4644,1
12299,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
87,0
-4420,29319
1,0
1,0
0,0
10,0
0,6
21536,2048
4815,1
12210,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
88,0
26409,29701
1,0
1,0
0,0
10,0
0,6
21536,2048
4866,1
12210,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
89,0
-8513,30082
1,0
1,0
0,0
10,0
0,6
21536,2048
4641,1
12291,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
90,0
22307,30464
1,0
1,0
0,0
10,0
0,6
21536,2048
4715,1
12210,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
91,0
-12409,30845
1,0
1,0
0,0
10,0
0,6
21536,2048
4751,1
12210,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
92,0
18529,31227
1,0
1,0
0,0
10,0
0,6
21536,2048
4905,1
12210,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
93,0
-16234,31608
1,0
1,0
0,0
10,0
0,6
21536,2048
4805,1
12299,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
94,0
14725,31990
1,0
1,0
0,0
10,0
0,6
21536,2048
4877,1
12299,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
95,0
-19480,32371
1,0
1,0
0,0
10,0
0,6
21536,2048
5600,1
12210,0
1,0
