Imaginary,Real
21536,2048
4502,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
11,0
-2739,24190
2,0
1,0
0,0
10,0
0,6
21536,2048
23634,1
21780,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
12,0
-5488,24953
2,0
1,0
0,0
10,0
0,6
21536,2048
24387,1
21818,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
13,0
-8181,25716
2,0
1,0
0,0
10,0
0,6
21536,2048
25157,1
21818,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
14,0
-6903,26479
2,0
1,0
0,0
10,0
0,6
21536,2048
24722,1
21896,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
15,0
620,27243
3,0
1,0
0,0
10,0
0,6
21536,2048
-29664,1
22619,0
3,0
258,772
1286,1800
512,774
64,6
26691,10
16,0
17364,28005
1,0
1,0
0,0
10,0
0,6
21536,2048
5441,1
13173,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
17,0
18164,28769
4,0
1,0
0,0
10,0
0,6
21536,2048
-6775,1
30410,0
4,0
258,772
1286,1800
512,774
64,6
26691,10
18,0
12780,29531
1,0
1,0
0,0
10,0
0,6
21536,2048
4512,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
19,0
31902,30294
1,0
1,0
0,0
10,0
0,6
21536,2048
23990,1
21818,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
20,0
-32398,31057
2,0
1,0
0,0
10,0
0,6
21536,2048
24243,1
22619,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
21,0
25979,31820
2,0
1,0
0,0
10,0
0,6
21536,2048
24765,1
21791,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
22,0
-7693,32582
1,0
1,0
0,0
10,0
0,6
21536,2048
4912,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
23,0
18665,-32190
2,0
1,0
0,0
10,0
0,6
21536,2048
25454,1
22612,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
24,0
-2989,-31427
4,0
1,0
0,0
10,0
0,6
21536,2048
-1463,1
30923,0
4,0
258,772
1286,1800
512,774
64,6
26691,10
25,0
-19861,-30665
1,0
1,0
0,0
10,0
0,6
21536,2048
4458,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
26,0
-14972,-29901
4,0
1,0
0,0
10,0
0,6
21536,2048
-5065,1
30788,0
4,0
258,772
1286,1800
512,774
64,6
26691,10
27,0
16059,-29138
3,0
1,0
0,0
10,0
0,6
21536,2048
-28034,1
22171,0
3,0
258,772
1286,1800
512,774
64,6
26691,10
28,0
13455,-28375
2,0
1,0
0,0
10,0
0,6
21536,2048
-25536,1
21888,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
29,0
-4692,-27613
2,0
1,0
0,0
10,0
0,6
21536,2048
25290,1
21818,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
30,0
-14500,-26850
2,0
1,0
0,0
10,0
0,6
21536,2048
20295,1
22601,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
31,0
21566,-26087
1,0
1,0
0,0
10,0
0,6
21536,2048
4982,1
13173,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
32,0
17673,-25324
1,0
1,0
0,0
10,0
0,6
21536,2048
4566,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
33,0
17815,-24560
4,0
1,0
0,0
10,0
0,6
21536,2048
-11683,1
31249,0
4,0
258,772
1286,1800
512,774
64,6
26691,10
34,0
-26344,-23798
2,0
1,0
0,0
10,0
0,6
21536,2048
22704,1
22602,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
35,0
-27402,-23035
2,0
1,0
0,0
10,0
0,6
21536,2048
24893,1
22609,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
36,0
-18633,-22272
3,0
1,0
0,0
10,0
0,6
21536,2048
-25051,1
22158,0
3,0
258,772
1286,1800
512,774
64,6
26691,10
37,0
27145,-21509
2,0
1,0
0,0
10,0
0,6
21536,2048
24356,1
22619,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
38,0
-27470,-20746
3,0
1,0
0,0
10,0
0,6
21536,2048
-26175,1
22258,0
3,0
258,772
1286,1800
512,774
64,6
26691,10
39,0
-31583,-19983
3,0
1,0
0,0
10,0
0,6
21536,2048
-25841,1
22163,0
3,0
258,772
1286,1800
512,774
64,6
26691,10
40,0
16434,-19220
2,0
1,0
0,0
10,0
0,6
21536,2048
24345,1
22609,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
41,0
12213,-18457
2,0
1,0
0,0
10,0
0,6
21536,2048
24832,1
22603,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
42,0
8270,-17694
2,0
1,0
0,0
10,0
0,6
21536,2048
25230,1
22615,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
43,0
3997,-16931
2,0
1,0
0,0
10,0
0,6
21536,2048
25027,1
22615,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
44,0
-990,-16169
2,0
1,0
0,0
10,0
0,6
21536,2048
24429,1
22619,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
45,0
-3783,-15406
2,0
1,0
0,0
10,0
0,6
21536,2048
24380,1
22619,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
46,0
-7550,-14643
2,0
1,0
0,0
10,0
0,6
21536,2048
24921,1
22606,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
47,0
-10280,-13880
2,0
1,0
0,0
10,0
0,6
21536,2048
26416,1
22619,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
48,0
-15763,-13117
2,0
1,0
0,0
10,0
0,6
21536,2048
25113,1
22619,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
49,0
-20159,-12354
2,0
1,0
0,0
10,0
0,6
21536,2048
25100,1
22619,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
50,0
-24680,-11591
2,0
1,0
0,0
10,0
0,6
21536,2048
24442,1
22619,0
2,0
